Código IBGE;Cidade;UF;Estado;Área Territorial - km2;População em 2021;População Urbana - Habitantes;População Rural - Habitantes;Sigla do Prestador de Serviço de Abastecimento de Água;Índice da População Total Atendida com Abastecimento de Água (%);População Total Atendida com Abastecimento de Água (habitantes);População Total Atendida com Esgotamento Sanitário (habitantes);Índice da População Total Atendida com Esgotamento Sanitário (%)
3500105;Adamantina;SP;São Paulo;411,99;34.687;33.230;1.923;SABESP;100;34.687;34.650;99,89
3500204;Adolfo;SP;São Paulo;211,06;4.351;3.189;356;SABESP;76,14;3.313;3.309;76,05
3500303;Aguaí;SP;São Paulo;474,55;32.072;33.361;3.620;SABESP;99,41;31.884;31.295;97,58
3500402;Águas da Prata;SP;São Paulo;142,67;7.369;7.376;886;SABESP;100;7.369;7.222;98,01
3500501;Águas de Lindóia;SP;São Paulo;60,13;17.930;18.738;170;SAAE;100;17.930;17.820;99,39
3500550;Águas de Santa Bárbara;SP;São Paulo;404,46;7.177;4.670;1.472;SABESP;72,2;5.182;3.589;50,01
3500600;Águas de São Pedro;SP;São Paulo;3,61;2.780;3.588;;SABESP;100;2.780;2.780;100
3500709;Agudos;SP;São Paulo;966,71;37.680;35.915;1.667;SABESP;92,59;34.888;34.558;91,71
3500758;Alambari;SP;São Paulo;159,6;6.141;4.685;1.546;SABESP;72,33;4.442;2.747;44,73
3500808;Alfredo Marcondes;SP;São Paulo;118,92;4.445;3.514;687;SABESP;82,99;3.689;3.339;75,12
3500907;Altair;SP;São Paulo;313,01;3.451;3.336;875;SABESP;82,61;2.851;2.810;81,43
3501004;Altinópolis;SP;São Paulo;928,96;16.818;14.172;2.049;PMA;87,51;14.718;14.718;87,51
3501103;Alto Alegre;SP;São Paulo;318,57;3.841;3.215;863;SABESP;76;2.919;2.875;74,85
3501152;Alumínio;SP;São Paulo;83,66;17.301;15.854;3.049;SABESP;74,89;12.957;9.814;56,73
3501202;Álvares Florence;SP;São Paulo;362,41;3.915;2.457;1.159;DASB;67,36;2.637;2.637;67,36
3501301;Álvares Machado;SP;São Paulo;347,65;27.255;22.593;2.485;SABESP;85,76;23.373;22.738;83,43
3501400;Álvaro de Carvalho;SP;São Paulo;153,66;4.808;3.377;1.943;SABESP;71,13;3.420;4.424;92,01
3501509;Alvinlândia;SP;São Paulo;84,88;2.885;2.918;333;SABESP;95,81;2.764;2.722;94,35
3501608;Americana;SP;São Paulo;133,91;237.240;243.228;1.142;DAE;100;237.247;237.247;100
3501707;Américo Brasiliense;SP;São Paulo;122,79;33.019;41.231;314;PMAB;100;33.019;33.019;100
3501806;Américo de Campos;SP;São Paulo;252,88;5.870;5.029;964;PMAC;87,53;5.138;5.138;87,53
3501905;Amparo;SP;São Paulo;445,32;68.008;57.569;15.576;SAAE;78,7;53.523;50.842;74,76
3502002;Analândia;SP;São Paulo;325,95;4.589;4.061;1.054;PMA;79,17;3.633;3.633;79,17
3502101;Andradina;SP;São Paulo;964,23;59.783;53.433;3.812;AA;92,84;55.504;54.943;91,9
3502200;Angatuba;SP;São Paulo;1.027,29;24.022;18.477;7.247;SABESP;76,19;18.302;14.251;59,32
3502309;Anhembi;SP;São Paulo;736,56;5.674;5.221;1.690;SABESP;65,42;3.712;3.478;61,3
3502408;Anhumas;SP;São Paulo;320,84;4.023;3.414;758;SABESP;84,29;3.391;3.308;82,23
3502507;Aparecida;SP;São Paulo;121,08;32.569;35.684;527;SAAE;99,63;32.448;28.230;86,68
3502606;Aparecida d'Oeste;SP;São Paulo;179;4.086;3.376;746;SABESP;83,16;3.398;3.274;80,13
3502705;Apiaí;SP;São Paulo;974,32;24.585;17.415;6.666;SABESP;66,5;16.349;12.114;49,27
3502754;Araçariguama;SP;São Paulo;145,2;21.522;23.343;;SABESP;71,52;15.393;10.654;49,5
3502804;Araçatuba;SP;São Paulo;1.167,13;200.124;195.368;3.842;SAMAR;98,07;196.264;193.517;96,7
3502903;Araçoiaba da Serra;SP;São Paulo;255,33;32.443;24.325;11.064;CAA;100;32.443;13.959;43,03
3503000;Aramina;SP;São Paulo;202,83;5.420;5.318;371;PMA;99,98;5.419;5.419;99,98
3503109;Arandu;SP;São Paulo;285,91;6.885;4.802;1.571;SABESP;57,17;3.936;3.915;56,86
3503158;Arapeí;SP;São Paulo;156,9;2.330;1.844;608;SABESP;78,07;1.819;1.481;63,56
3503208;Araraquara;SP;São Paulo;1.003,63;242.228;233.704;6.838;DAAE;96,98;234.923;235.627;97,27
3503307;Araras;SP;São Paulo;644,83;130.866;129.376;7.363;SAEMA;98,23;128.553;128.553;98,23
3503356;Arco-Íris;SP;São Paulo;264,9;2.044;1.000;755;SABESP;50,05;1.023;1.014;49,61
3503406;Arealva;SP;São Paulo;504,97;8.130;6.825;1.840;SABESP;64,48;5.242;4.734;58,23
3503505;Areias;SP;São Paulo;305,23;3.577;2.619;1.287;PMA;61,5;2.200;2.200;61,5
3503604;Areiópolis;SP;São Paulo;85,91;10.130;9.940;1.246;SABESP;92,94;9.415;9.377;92,57
3503703;Ariranha;SP;São Paulo;132,62;7.602;9.329;522;PMA;95,37;7.250;7.250;95,37
3503802;Artur Nogueira;SP;São Paulo;178,03;51.456;50.926;5.321;SAEAN;100;51.456;46.239;89,86
3503901;Arujá;SP;São Paulo;96,17;86.678;88.764;3.689;SABESP;97,36;84.391;64.552;74,47
3503950;Aspásia;SP;São Paulo;69,37;1.842;1.261;554;SABESP;78,28;1.442;1.445;78,45
3504008;Assis;SP;São Paulo;460,61;101.409;101.151;4.617;SABESP;99,3;100.703;100.525;99,13
3504107;Atibaia;SP;São Paulo;478,52;158.647;132.317;13.061;SAAE;82,06;130.180;89.154;56,2
3504206;Auriflama;SP;São Paulo;434,5;13.692;13.964;1.352;SABESP;95,06;13.016;12.672;92,55
3504305;Avaí;SP;São Paulo;540,69;4.483;3.671;1.796;SABESP;60,65;2.719;2.610;58,22
3504404;Avanhandava;SP;São Paulo;338,37;11.263;11.891;2.172;DAAEA;99,95;11.257;11.257;99,95
3504503;Avaré;SP;São Paulo;1.213,06;92.805;87.871;3.921;SABESP;88,55;82.178;79.412;85,57
3504602;Bady Bassitt;SP;São Paulo;110,37;27.260;16.849;1.164;PMBB;92,61;25.246;25.246;92,61
3504701;Balbinos;SP;São Paulo;91,64;3.887;1.971;4.156;SABESP;39,95;1.553;1.536;39,52
3504800;Bálsamo;SP;São Paulo;149,88;9.596;8.435;774;PMB;100;9.596;9.596;100
3504909;Bananal;SP;São Paulo;616,43;9.969;8.808;2.231;SABESP;74,49;7.426;7.187;72,09
3505005;Barão de Antonina;SP;São Paulo;153,14;3.531;2.164;1.361;SABESP;60,66;2.142;1.746;49,45
3505104;Barbosa;SP;São Paulo;205,21;5.640;6.369;1.163;PMB;81,97;4.623;4.623;81,97
3505203;Bariri;SP;São Paulo;444,41;31.595;34.008;1.836;SAEMBA;99,97;31.584;31.584;99,97
3505302;Barra Bonita;SP;São Paulo;150,12;34.346;35.368;757;SAAE;100;34.346;34.346;100
3505351;Barra do Chapéu;SP;São Paulo;405,68;5.179;1.706;4.088;SABESP;41,75;2.162;1.644;31,74
3505401;Barra do Turvo;SP;São Paulo;1.007,68;6.876;3.123;4.483;SABESP;35,76;2.459;2.196;31,94
3505500;Barretos;SP;São Paulo;1.566,16;122.485;119.782;3.764;SAAEB;95,36;116.800;116.752;95,32
3505609;Barrinha;SP;São Paulo;146,03;32.092;33.165;372;PMB;98,89;31.736;31.736;98,89
3505708;Barueri;SP;São Paulo;65,7;316.473;279.704;;SABESP;100;316.473;300.424;94,93
3505807;Bastos;SP;São Paulo;170,91;21.503;18.045;2.907;SABESP;83,97;18.056;18.012;83,77
3505906;Batatais;SP;São Paulo;849,53;58.402;56.102;7.336;PMB;89,86;52.480;52.332;89,61
3506003;Bauru;SP;São Paulo;667,68;379.146;375.321;6.385;DAE;100;379.146;379.146;100
3506102;Bebedouro;SP;São Paulo;683,19;76.373;73.959;3.653;SAAEB;100;76.373;76.373;100
3506201;Bento de Abreu;SP;São Paulo;301,69;2.606;2.768;260;SABESP;96,66;2.519;2.503;96,05
